Keyword,Angle,Location,Language,Jan-2024,Feb-2024,Mar-2024,Apr-2024,May-2024,Jun-2024,Jul-2024,Aug-2024,Sep-2024,Oct-2024,Nov-2024,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,Oct-2025,Nov-2025,Dec-2025,Competition
vay tiền mặt lotte,Brand,Vietnam,VI,10,10,20,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,HIGH(81)
công ty tnhh lotte finance,Brand,Vietnam,VI,10,10,10,10,10,10,10,10,10,10,10,30,10,10,10,10,10,10,10,10,10,20,10,10,LOW(14)
ngan hang lotte finance,Brand,Vietnam,VI,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,LOW(33)
sản phẩm vay lotte finance,Brand,Vietnam,VI,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,LOW(29)
vay tiền ngân hàng lotte,Brand,Vietnam,VI,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,MEDIUM(54)
app mua hàng lotte mart,Brand,Vietnam,VI,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,LOW(24)
công ty tnhh mtv lotte finance,Brand,Vietnam,VI,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,LOW(0)
lotte finance apk,Brand,Vietnam,VI,10,10,10,10,0,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,LOW(9)
ngân hàng lotte mart,Brand,Vietnam,VI,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10,10,10,30,10,10,LOW(2)
công ty tnhh tài chính lotte finance,Brand,Vietnam,VI,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,LOW(16)
ngân hàng shinhan lotte,Brand,Vietnam,VI,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,LOW(0)
tập đoàn tài chính lotte,Brand,Vietnam,VI,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,LOW(29)
vay vốn ngân hàng lotte,Brand,Vietnam,VI,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,MEDIUM(43)
công ty tài chính tnhh một thành viên lotte finance,Brand,Vietnam,VI,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,LOW(29)
lotte finance visa,Brand,Vietnam,VI,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,LOW(11)
trả góp lotte,Brand,Vietnam,VI,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,LOW(29)
thẻ tín dụng của lotte finance,Brand,Vietnam,VI,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,0,10,LOW(7)
vay tín chấp ngân hàng lotte,Brand,Vietnam,VI,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,0,HIGH(86)
ngân hàng lotte fin,Brand,Vietnam,VI,0,0,10,0,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,LOW(29)
lotte apk,Brand,Vietnam,VI,10,0,10,10,10,10,0,10,10,0,0,10,0,10,10,10,10,10,10,10,10,10,10,10,LOW(0)
điều kiện mở the tín dụng lotte finance,Brand,Vietnam,VI,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,0,0,0,10,10,10,10,0,10,UNSPECIFIED
app mua hàng lotte,Brand,Vietnam,VI,10,10,10,10,0,0,10,0,10,10,10,10,10,0,10,10,10,10,0,10,10,0,10,10,UNSPECIFIED
https uploadinfo lottefinance vn lfvn,Brand,Vietnam,VI,10,0,10,10,10,10,20,10,10,10,10,10,10,10,10,10,0,0,10,0,0,0,0,10,UNSPECIFIED
công ty tài chính lotte hàn quốc,Brand,Vietnam,VI,30,10,10,10,10,10,0,10,10,10,10,0,0,10,10,10,0,0,0,0,10,10,0,0,UNSPECIFIED
thanh toán vay tiêu dùng lotte,Brand,Vietnam,VI,10,0,10,10,10,10,10,10,10,0,0,10,10,0,0,10,10,0,0,10,0,10,0,10,UNSPECIFIED
vay lotte credit,Brand,Vietnam,VI,10,0,10,0,10,10,10,10,10,10,0,0,10,0,10,10,0,0,10,10,0,0,0,0,HIGH(67)
lotte fin cho vay,Brand,Vietnam,VI,10,0,10,0,10,0,10,10,0,0,10,0,10,0,0,0,0,10,0,0,10,0,0,0,UNSPECIFIED
vay theo lịch sử tín dụng lotte,Brand,Vietnam,VI,10,0,10,10,0,0,10,0,0,0,10,0,0,0,0,0,0,0,10,10,10,0,10,0,HIGH(71)
vay tiền tài chính lotte,Brand,Vietnam,VI,0,0,10,0,0,0,0,0,0,0,0,0,0,10,10,10,0,10,10,10,0,0,10,10,HIGH(86)
công ty tài chính lotte credit,Brand,Vietnam,VI,0,0,10,0,0,10,10,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,UNSPECIFIED
vay tiền lotte credit,Brand,Vietnam,VI,0,10,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,10,10,0,0,10,10,0,UNSPECIFIED
công ty lotte credit,Brand,Vietnam,VI,10,0,10,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,UNSPECIFIED
the tín dụng lotte có tốt không,Brand,Vietnam,VI,10,10,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,UNSPECIFIED
cty tài chính lotte credit,Brand,Vietnam,VI,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,UNSPECIFIED
tài chính lotte credit,Brand,Vietnam,VI,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10,0,0,0,0,UNSPECIFIED
làm the tín dụng lotte,Brand,Vietnam,VI,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNSPECIFIED
the tín dụng lotte finance,Brand,Vietnam,VI,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,UNSPECIFIED
cty lotte credit,Brand,Vietnam,VI,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNSPECIFIED
lotte finance có uy tín không,Product,Vietnam,VI,30,10,10,20,30,90,70,110,140,260,320,390,210,110,260,320,260,320,320,390,590,590,1000,880,LOW(28)
vay tiền lotte,Product,Vietnam,VI,320,170,260,210,260,260,320,210,170,170,320,260,210,170,210,210,260,210,210,210,170,210,210,170,MEDIUM(61)
vay lotte finance dễ không,Product,Vietnam,VI,170,70,140,210,320,260,170,390,320,260,170,170,320,320,140,320,110,140,110,50,170,320,320,320,MEDIUM(62)
vay tiền lotte finance có an toàn không,Product,Vietnam,VI,260,110,140,170,260,260,320,260,140,170,110,140,140,90,110,110,140,140,140,110,140,110,110,140,LOW(27)
điều kiện vay lotte finance,Product,Vietnam,VI,110,50,70,110,90,110,210,170,140,170,170,170,140,110,170,140,170,210,170,170,170,110,170,170,MEDIUM(42)
quy trình thẩm định lotte finance,Product,Vietnam,VI,170,70,110,140,110,110,110,90,110,110,110,90,70,70,90,90,50,40,50,30,50,50,70,50,LOW(6)
kiểm tra hồ sơ vay lotte,Product,Vietnam,VI,110,70,110,90,110,110,140,140,70,70,90,70,70,40,70,70,70,50,50,30,40,30,30,10,LOW(0)
vay tiền lotte finance,Product,Vietnam,VI,170,90,70,90,70,50,90,90,110,140,70,40,40,40,50,70,50,50,30,50,50,70,50,70,HIGH(74)
lotte vay tiền,Product,Vietnam,VI,50,30,30,30,20,40,50,40,40,50,50,30,40,30,50,140,260,70,50,40,40,40,140,110,HIGH(72)
kiểm tra khoản vay lotte,Product,Vietnam,VI,70,40,70,40,70,50,50,50,50,70,50,50,40,50,50,50,50,50,50,70,50,70,40,30,LOW(3)
cách vay lotte finance,Product,Vietnam,VI,50,30,40,30,30,40,30,40,30,50,70,50,20,30,40,50,40,50,40,50,70,70,90,110,MEDIUM(63)
đăng ký vay lotte finance,Product,Vietnam,VI,50,20,40,30,30,40,40,50,40,40,50,90,40,30,40,40,50,70,40,40,50,50,70,110,MEDIUM(58)
điều kiện vay lotte,Product,Vietnam,VI,40,10,40,40,70,70,70,70,40,70,70,50,30,20,50,40,50,50,30,40,40,50,50,50,MEDIUM(45)
cách kiểm tra khoản vay lotte finance,Product,Vietnam,VI,70,40,50,40,70,40,50,30,30,50,40,50,50,20,40,50,50,30,20,30,20,20,70,50,LOW(7)
kiểm tra khoản vay lotte finance,Product,Vietnam,VI,10,10,10,10,10,70,70,70,50,50,30,30,30,40,30,20,20,10,30,40,20,30,30,50,LOW(3)
thủ tục vay lotte finance,Product,Vietnam,VI,10,10,10,20,10,40,30,20,40,40,20,30,30,10,20,40,20,30,20,10,20,40,70,50,MEDIUM(61)
có nên vay lotte finance,Product,Vietnam,VI,20,10,20,30,30,30,40,30,50,30,30,20,10,20,20,10,30,30,30,10,30,20,40,40,MEDIUM(35)
lotte có cho vay tiền không,Product,Vietnam,VI,20,10,30,30,20,40,20,40,10,30,10,10,10,10,10,10,20,10,20,20,10,10,10,10,MEDIUM(50)
đăng ký vay lotte,Product,Vietnam,VI,20,20,10,10,20,20,20,10,10,10,10,10,30,10,10,10,10,10,10,10,10,10,10,20,HIGH(71)
vay tiền bên lotte finance,Product,Vietnam,VI,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,20,30,10,20,20,20,MEDIUM(36)
mở thẻ lotte finance,Product,Vietnam,VI,10,10,10,20,10,10,10,20,10,10,10,20,10,10,20,10,20,10,10,10,10,10,10,10,HIGH(86)
vay online lotte,Product,Vietnam,VI,30,10,20,10,10,20,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,HIGH(79)
vay tiền qua lotte finance,Product,Vietnam,VI,20,10,10,10,10,10,10,20,20,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,HIGH(80)
vay tiền online lotte,Product,Vietnam,VI,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,10,10,10,10,20,10,10,HIGH(73)
cách vay tiền lotte,Product,Vietnam,VI,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,UNSPECIFIED
vay tiền mặt lotte finance,Product,Vietnam,VI,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,HIGH(79)
lotte finance vay tiền,Product,Vietnam,VI,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,HIGH(71)
vay lotte có dễ không,Product,Vietnam,VI,10,10,0,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,MEDIUM(49)
thủ tục vay tiền lotte,Product,Vietnam,VI,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,10,0,MEDIUM(33)
thẻ vay lotte,Product,Vietnam,VI,10,10,10,0,10,0,10,10,10,10,0,10,10,10,0,0,10,10,10,0,0,0,0,10,MEDIUM(43)
vay tín chấp bên lotte,Product,Vietnam,VI,10,10,0,10,0,10,0,10,10,10,10,10,10,10,0,0,0,0,10,0,0,0,10,0,UNSPECIFIED
vay tiền trả góp lotte,Product,Vietnam,VI,10,0,0,0,0,10,10,0,10,0,10,10,0,0,0,0,0,0,0,0,0,10,0,10,UNSPECIFIED
cho vay tiền lotte,Product,Vietnam,VI,0,0,0,0,0,0,10,10,0,0,0,10,0,0,10,0,0,0,10,0,10,0,10,0,HIGH(86)
vay lotte app,Product,Vietnam,VI,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED
vay online lotte app,Product,Vietnam,VI,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED
home credit,Competitor_HomeCredit,Vietnam,VI,90500,49500,74000,74000,74000,74000,60500,110000,135000,135000,165000,135000,74000,60500,60500,60500,60500,60500,60500,60500,49500,49500,49500,49500,MEDIUM(44)
vay home credit,Competitor_HomeCredit,Vietnam,VI,6600,3600,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,3600,2900,4400,3600,3600,3600,3600,3600,3600,3600,3600,3600,MEDIUM(64)
home credit online,Competitor_HomeCredit,Vietnam,VI,2400,1900,2400,2900,2900,2400,1900,3600,3600,3600,3600,4400,2900,2400,2400,2900,2900,2900,3600,3600,2900,2900,3600,3600,LOW(13)
home credit app,Competitor_HomeCredit,Vietnam,VI,170,90,140,110,170,170,170,3600,5400,6600,8100,9900,2400,1000,880,720,880,390,390,390,390,480,590,590,MEDIUM(38)
vaytienmat homecredit,Competitor_HomeCredit,Vietnam,VI,1600,1000,1300,1300,1600,1600,1900,1600,1600,1900,1900,1900,1600,1300,1900,1900,1900,1900,1900,1900,1600,1900,1900,1900,LOW(31)
vay tiền mặt home credit,Competitor_HomeCredit,Vietnam,VI,4400,2400,2900,2900,2400,2900,1900,2400,1900,1600,1900,1600,1300,880,1300,880,880,880,880,720,720,880,720,590,MEDIUM(50)
vay tiền home credit,Competitor_HomeCredit,Vietnam,VI,880,480,880,880,1000,1000,1600,1600,1600,1300,1600,1600,1300,1000,1300,1300,1300,1300,1300,1000,1000,880,880,880,MEDIUM(54)
kinh nghiệm vay tiền mặt home credit,Competitor_HomeCredit,Vietnam,VI,1900,1300,1900,1600,1600,1600,1300,1300,1000,1000,1000,1000,720,480,880,590,480,480,590,480,480,390,260,260,LOW(29)
app home credit,Competitor_HomeCredit,Vietnam,VI,320,170,260,260,320,390,260,2400,2900,2900,3600,3600,880,480,390,390,320,320,320,320,320,260,320,320,LOW(30)
ngân hàng home credit,Competitor_HomeCredit,Vietnam,VI,1600,880,1300,1300,1300,1000,1000,1000,880,1000,1000,880,720,590,880,590,720,720,720,720,720,720,720,720,LOW(31)
homecredit vn đăng nhập,Competitor_HomeCredit,Vietnam,VI,1000,880,880,880,880,720,590,1600,1900,1600,1600,1300,720,590,480,390,390,320,390,390,390,320,320,260,LOW(3)
vay theo cavet xe home credit,Competitor_HomeCredit,Vietnam,VI,480,260,390,390,390,320,320,320,720,260,390,260,9900,170,140,140,140,110,170,140,140,110,90,70,MEDIUM(62)
công ty home credit,Competitor_HomeCredit,Vietnam,VI,1000,480,880,720,720,720,720,720,720,590,880,590,390,480,480,480,480,480,480,480,480,480,480,480,LOW(14)
vay tiền homecredit,Competitor_HomeCredit,Vietnam,VI,2400,1000,1000,880,320,880,480,320,480,720,260,170,170,260,390,260,320,320,210,260,320,210,390,260,MEDIUM(50)
online homecredit vn,Competitor_HomeCredit,Vietnam,VI,590,480,390,480,480,320,390,880,880,880,720,720,590,260,320,320,260,210,390,390,390,390,480,480,LOW(7)
vay theo hợp đồng trả góp home credit,Competitor_HomeCredit,Vietnam,VI,1600,720,880,720,720,720,880,880,720,720,720,480,320,210,210,140,90,90,70,50,110,70,70,50,LOW(16)
lãi suất home credit,Competitor_HomeCredit,Vietnam,VI,720,390,480,480,390,480,480,480,480,480,480,590,390,390,590,390,390,390,390,480,320,320,320,320,LOW(30)
vay home,Competitor_HomeCredit,Vietnam,VI,880,320,390,480,480,320,480,480,480,390,390,480,320,260,320,320,320,320,390,320,390,320,390,390,HIGH(70)
công ty tài chính home credit,Competitor_HomeCredit,Vietnam,VI,880,320,590,590,480,480,480,480,390,480,590,390,260,260,390,260,260,260,320,320,320,260,260,260,LOW(25)
điều kiện vay home credit,Competitor_HomeCredit,Vietnam,VI,720,320,480,480,480,480,480,480,390,390,390,320,320,260,390,390,320,320,320,320,320,390,390,390,MEDIUM(36)
home app,Competitor_HomeCredit,Vietnam,VI,260,210,260,170,210,170,170,480,590,1000,1600,1900,390,210,260,260,170,170,170,170,140,170,140,140,LOW(17)
vay nhanh home credit,Competitor_HomeCredit,Vietnam,VI,590,260,320,390,480,480,480,390,320,320,320,480,390,260,320,320,390,390,390,390,320,320,390,590,LOW(0)
home credit vay,Competitor_HomeCredit,Vietnam,VI,480,210,260,260,320,320,320,210,210,210,320,590,390,320,320,320,320,590,590,390,480,480,590,590,MEDIUM(61)
trả góp home credit,Competitor_HomeCredit,Vietnam,VI,590,390,480,480,390,390,390,390,390,390,320,320,260,390,390,320,320,320,260,320,320,320,260,320,LOW(18)
vay tiền nhanh homecredit,Competitor_HomeCredit,Vietnam,VI,390,170,260,260,390,320,260,320,260,320,320,390,320,260,390,390,390,480,590,590,390,320,390,390,LOW(31)
vaytienmat homecredit vn sa code,Competitor_HomeCredit,Vietnam,VI,1000,390,390,390,590,590,480,480,390,320,260,390,320,260,210,170,210,320,320,210,170,210,170,320,LOW(25)
vay tiền nhanh home credit,Competitor_HomeCredit,Vietnam,VI,390,170,260,260,390,320,260,320,260,320,320,390,320,260,390,390,390,480,590,590,390,320,390,390,LOW(31)
vaytienmat homecredit vn,Competitor_HomeCredit,Vietnam,VI,320,260,260,210,320,320,320,260,260,260,260,390,320,170,210,210,260,320,480,320,320,390,320,390,MEDIUM(35)
square home,Competitor_HomeCredit,Vietnam,VI,140,140,320,260,140,260,390,320,210,390,320,320,390,260,480,390,390,480,320,170,140,170,210,210,LOW(23)
